workerId,ID,pairID,count,event,eventCat,construction,sentence
A12FCLCVIM2CL3,77,85,4.0,filler,filler,filler,
A12FCLCVIM2CL3,63,71,1.0,filler,filler,filler,
A12FCLCVIM2CL3,39,3,2.0,assuring,DM,INT,
A12FCLCVIM2CL3,19,1,4.0,scolding,DC,INT,
A12FCLCVIM2CL3,53,61,1.0,filler,filler,filler,
A12FCLCVIM2CL3,29,5,1.0,presenting,DC,INT,
A12FCLCVIM2CL3,79,87,1.0,filler,filler,filler,
A12FCLCVIM2CL3,55,63,1.0,filler,filler,filler,
A12FCLCVIM2CL3,71,79,1.0,filler,filler,filler,
A12FCLCVIM2CL3,64,72,7.0,filler,filler,filler,
A12FCLCVIM2CL3,75,83,5.0,filler,filler,filler,
A12FCLCVIM2CL3,78,86,18.0,filler,filler,filler,
A12FCLCVIM2CL3,32,6,1.0,addressing,DC,TRA,
A12FCLCVIM2CL3,38,2,12.0,assisting,DM,TRA,
A12FCLCVIM2CL3,61,69,9.0,filler,filler,filler,
A12FCLCVIM2CL3,16,7,1.0,shaking,PC,TRA,
A12FCLCVIM2CL3,54,62,1.0,filler,filler,filler,
A12FCLCVIM2CL3,57,65,1.0,filler,filler,filler,
A12FCLCVIM2CL3,3,2,5.0,kicking,PC,INT,
A12FCLCVIM2CL3,28,4,1.0,speaking,DC,TRA,
A12FCLCVIM2CL3,73,81,7.0,filler,filler,filler,
A12FCLCVIM2CL3,59,67,14.0,filler,filler,filler,
A12FCLCVIM2CL3,2,1,1.0,kissing,PC,TRA,
A12FCLCVIM2CL3,9,4,1.0,embracing,PC,INT,
A12FCLCVIM2CL3,72,80,60.0,filler,filler,filler,
A12FCLCVIM2CL3,6,3,6.0,hugging,PC,TRA,
A12FCLCVIM2CL3,76,84,4.0,filler,filler,filler,
A12FCLCVIM2CL3,56,64,40.0,filler,filler,filler,
A12FCLCVIM2CL3,66,74,3.0,filler,filler,filler,
A12FCLCVIM2CL3,35,1,1.0,advising,DM,INT,
A12FCLCVIM2CL3,70,78,1.0,filler,filler,filler,
A12FCLCVIM2CL3,60,68,1.0,filler,filler,filler,
A12FCLCVIM2CL3,25,3,1.0,talking,DC,INT,
A12FCLCVIM2CL3,42,4,7.0,encouraging,DM,TRA,
A12FCLCVIM2CL3,21,7,1.0,thanking,DM,INT,
A12FCLCVIM2CL3,13,6,32.0,poking,PC,INT,
A12FCLCVIM2CL3,65,73,45.0,filler,filler,filler,
A12FCLCVIM2CL3,47,5,4.0,recognizing,DM,INT,
A12FCLCVIM2CL3,67,75,50.0,filler,filler,filler,
A12FCLCVIM2CL3,69,77,1.0,filler,filler,filler,
A1JXSNKXAXT9OU,50,6,100.0,supporting,DM,TRA,
A1JXSNKXAXT9OU,58,66,1.0,filler,filler,filler,
