workerId,pair,rating,event,eventCat,construction
A1EI4NMV2EHSIY,3,1.0,talking,DC,INT
A1EI4NMV2EHSIY,4,1.0,encouraging,DM,TRA
A1EI4NMV2EHSIY,7,1.0,thanking,DM,INT
A1EI4NMV2EHSIY,6,1.0,poking,PC,INT
A1EI4NMV2EHSIY,73,1.0,filler,filler,filler
A1EI4NMV2EHSIY,5,1.0,recognizing,DM,INT
A1EI4NMV2EHSIY,75,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,6,1.0,supporting,DM,TRA
A3U6IA3JUSFZ2M,66,7.0,filler,filler,filler
A3U6IA3JUSFZ2M,2,1.0,lecturing,DC,TRA
A3U6IA3JUSFZ2M,76,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,5,2.0,cuddling,PC,TRA
A3U6IA3JUSFZ2M,82,7.0,filler,filler,filler
A3U6IA3JUSFZ2M,70,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,85,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,71,5.0,filler,filler,filler
A3U6IA3JUSFZ2M,3,3.0,assuring,DM,INT
A3U6IA3JUSFZ2M,1,1.0,scolding,DC,INT
A3U6IA3JUSFZ2M,61,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,5,2.0,presenting,DC,INT
A3U6IA3JUSFZ2M,87,4.0,filler,filler,filler
A3U6IA3JUSFZ2M,63,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,79,7.0,filler,filler,filler
A3U6IA3JUSFZ2M,72,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,83,5.0,filler,filler,filler
A3U6IA3JUSFZ2M,86,6.0,filler,filler,filler
A3U6IA3JUSFZ2M,6,1.0,addressing,DC,TRA
A3U6IA3JUSFZ2M,2,1.0,assisting,DM,TRA
A3U6IA3JUSFZ2M,69,2.0,filler,filler,filler
A3U6IA3JUSFZ2M,7,2.0,shaking,PC,TRA
A3U6IA3JUSFZ2M,62,1.0,filler,filler,filler
A3U6IA3JUSFZ2M,65,5.0,filler,filler,filler
A3U6IA3JUSFZ2M,2,1.0,kicking,PC,INT
A3U6IA3JUSFZ2M,4,2.0,speaking,DC,TRA
A3U6IA3JUSFZ2M,81,7.0,filler,filler,filler
A3U6IA3JUSFZ2M,67,6.0,filler,filler,filler
